state,action,reward,next_state,done
17,3,0.0,18,False
18,2,0.0,10,False
10,1,0.0,18,False
18,1,0.0,19,True
0,1,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,1,0.0,8,False
8,1,0.0,8,False
8,0,0.0,8,False
8,0,0.0,16,False
16,1,0.0,17,False
17,0,0.0,25,False
25,1,0.0,26,False
26,2,0.0,27,False
27,0,0.0,19,True
0,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,2,0.0,1,False
1,0,0.0,9,False
9,1,0.0,10,False
10,3,0.0,2,False
2,1,0.0,10,False
10,3,0.0,2,False
2,3,0.0,2,False
2,3,0.0,3,False
3,1,0.0,2,False
2,0,0.0,2,False
2,2,0.0,3,False
3,1,0.0,2,False
2,1,0.0,1,False
1,2,0.0,9,False
9,0,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,2,0.0,9,False
9,3,0.0,8,False
8,1,0.0,8,False
8,1,0.0,16,False
16,0,0.0,24,False
24,1,0.0,32,False
32,3,0.0,32,False
32,1,0.0,40,False
40,2,0.0,32,False
32,0,0.0,32,False
32,3,0.0,32,False
32,1,0.0,32,False
32,3,0.0,32,False
32,1,0.0,33,False
33,3,0.0,25,False
25,3,0.0,17,False
17,1,0.0,25,False
25,3,0.0,26,False
26,0,0.0,25,False
25,3,0.0,17,False
17,1,0.0,16,False
16,3,0.0,8,False
8,3,0.0,0,False
0,1,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,1,0.0,0,False
0,2,0.0,1,False
1,1,0.0,9,False
9,3,0.0,8,False
8,3,0.0,0,False
0,2,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,0,0.0,8,False
8,0,0.0,0,False
0,3,0.0,1,False
1,3,0.0,2,False
2,1,0.0,1,False
1,0,0.0,9,False
9,3,0.0,8,False
8,1,0.0,8,False
8,0,0.0,0,False
0,0,0.0,0,False
0,1,0.0,8,False
8,1,0.0,8,False
8,2,0.0,16,False
16,3,0.0,8,False
8,0,0.0,16,False
16,3,0.0,8,False
8,2,0.0,16,False
16,1,0.0,17,False
17,2,0.0,18,False
18,1,0.0,19,True
0,1,0.0,0,False
0,2,0.0,8,False
8,1,0.0,8,False
8,3,0.0,8,False
8,3,0.0,0,False
0,0,0.0,0,False
0,2,0.0,8,False
8,3,0.0,8,False
8,3,0.0,0,False
0,0,0.0,0,False
0,1,0.0,0,False
0,2,0.0,8,False
8,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,2,0.0,1,False
1,0,0.0,0,False
0,1,0.0,0,False
0,0,0.0,0,False
0,1,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,2,0.0,8,False
8,1,0.0,16,False
16,2,0.0,8,False
8,0,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,2,0.0,0,False
0,3,0.0,0,False
0,1,0.0,8,False
8,3,0.0,9,False
9,2,0.0,17,False
17,0,0.0,16,False
16,3,0.0,8,False
8,3,0.0,8,False
8,3,0.0,9,False
9,2,0.0,10,False
10,1,0.0,9,False
9,0,0.0,17,False
17,2,0.0,9,False
9,1,0.0,10,False
10,0,0.0,2,False
2,3,0.0,2,False
2,1,0.0,10,False
10,2,0.0,11,False
11,2,0.0,12,False
12,2,0.0,13,False
13,2,0.0,21,False
21,1,0.0,22,False
22,1,0.0,30,False
30,1,0.0,31,False
31,0,0.0,39,False
39,2,0.0,31,False
31,1,0.0,30,False
30,0,0.0,22,False
22,2,0.0,30,False
30,2,0.0,22,False
22,1,0.0,21,False
21,3,0.0,22,False
22,3,0.0,14,False
14,2,0.0,22,False
22,0,0.0,21,False
21,2,0.0,22,False
22,2,0.0,23,False
23,1,0.0,23,False
23,3,0.0,22,False
22,0,0.0,14,False
14,1,0.0,15,False
15,1,0.0,14,False
14,0,0.0,13,False
13,2,0.0,14,False
14,0,0.0,6,False
6,3,0.0,6,False
6,3,0.0,7,False
7,0,0.0,15,False
15,0,0.0,7,False
7,0,0.0,6,False
6,3,0.0,7,False
7,1,0.0,6,False
6,3,0.0,7,False
7,1,0.0,7,False
7,3,0.0,6,False
6,2,0.0,6,False
6,3,0.0,6,False
6,1,0.0,14,False
14,1,0.0,13,False
13,2,0.0,21,False
21,0,0.0,20,False
20,3,0.0,12,False
12,2,0.0,20,False
20,2,0.0,21,False
21,1,0.0,29,True
0,1,0.0,0,False
0,1,0.0,0,False
0,1,0.0,8,False
8,2,0.0,16,False
16,1,0.0,24,False
24,1,0.0,32,False
32,2,0.0,40,False
40,2,0.0,32,False
32,0,0.0,40,False
40,3,0.0,32,False
32,1,0.0,40,False
40,1,0.0,48,False
48,2,0.0,49,True
0,3,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,1,0.0,8,False
8,0,0.0,16,False
16,3,0.0,17,False
17,0,0.0,9,False
9,0,0.0,17,False
17,1,0.0,25,False
25,0,0.0,24,False
24,1,0.0,24,False
24,3,0.0,25,False
25,0,0.0,17,False
17,0,0.0,25,False
25,1,0.0,33,False
33,0,0.0,41,True
0,2,0.0,0,False
0,2,0.0,8,False
8,3,0.0,8,False
8,0,0.0,16,False
16,2,0.0,17,False
17,1,0.0,18,False
18,1,0.0,26,False
26,0,0.0,25,False
25,3,0.0,17,False
17,3,0.0,16,False
16,3,0.0,17,False
17,3,0.0,18,False
18,2,0.0,19,True
0,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,2,0.0,1,False
1,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,1,False
1,2,0.0,9,False
9,2,0.0,10,False
10,3,0.0,9,False
9,1,0.0,17,False
17,2,0.0,18,False
18,0,0.0,17,False
17,0,0.0,9,False
9,0,0.0,8,False
8,0,0.0,8,False
8,3,0.0,8,False
8,0,0.0,8,False
8,0,0.0,0,False
0,2,0.0,8,False
8,1,0.0,8,False
8,3,0.0,8,False
8,1,0.0,16,False
16,1,0.0,24,False
24,2,0.0,16,False
16,3,0.0,17,False
17,1,0.0,18,False
18,0,0.0,17,False
17,3,0.0,16,False
16,0,0.0,24,False
24,1,0.0,25,False
25,1,0.0,24,False
24,0,0.0,16,False
16,3,0.0,8,False
8,2,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,2,0.0,1,False
1,0,0.0,9,False
9,3,0.0,10,False
10,2,0.0,2,False
2,0,0.0,2,False
2,1,0.0,3,False
3,0,0.0,3,False
3,1,0.0,2,False
2,0,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,0,0.0,0,False
0,2,0.0,8,False
8,3,0.0,9,False
9,1,0.0,10,False
10,3,0.0,2,False
2,2,0.0,10,False
10,3,0.0,11,False
11,0,0.0,3,False
3,1,0.0,4,False
4,1,0.0,5,False
5,3,0.0,4,False
4,2,0.0,12,False
12,3,0.0,4,False
4,1,0.0,5,False
5,2,0.0,6,False
6,2,0.0,7,False
7,1,0.0,7,False
7,3,0.0,7,False
7,2,0.0,15,False
15,0,0.0,23,False
23,3,0.0,23,False
23,3,0.0,22,False
22,1,0.0,30,False
30,2,0.0,22,False
22,3,0.0,14,False
14,1,0.0,15,False
15,0,0.0,7,False
7,3,0.0,7,False
7,2,0.0,7,False
7,0,0.0,7,False
7,0,0.0,7,False
7,1,0.0,6,False
6,2,0.0,7,False
7,2,0.0,7,False
7,2,0.0,7,False
7,3,0.0,7,False
7,0,0.0,15,False
15,2,0.0,23,False
23,3,0.0,15,False
15,0,0.0,7,False
7,1,0.0,7,False
7,1,0.0,6,False
6,0,0.0,14,False
14,3,0.0,15,False
15,0,0.0,7,False
7,3,0.0,7,False
7,3,0.0,6,False
6,3,0.0,6,True
0,2,0.0,8,False
8,3,0.0,0,False
0,0,0.0,8,False
8,3,0.0,8,False
8,2,0.0,16,False
16,0,0.0,8,False
8,3,0.0,9,False
9,3,0.0,8,False
8,0,0.0,8,False
8,0,0.0,16,False
16,0,0.0,8,False
8,3,0.0,9,False
9,0,0.0,8,False
8,1,0.0,9,False
9,1,0.0,10,False
10,0,0.0,9,False
9,2,0.0,17,False
17,3,0.0,9,False
9,2,0.0,17,False
17,3,0.0,16,False
16,2,0.0,24,False
24,0,0.0,32,False
32,2,0.0,33,False
33,3,0.0,25,False
25,0,0.0,24,False
24,0,0.0,24,False
24,2,0.0,16,False
16,3,0.0,17,False
17,0,0.0,16,False
16,1,0.0,16,False
16,0,0.0,16,False
16,3,0.0,16,False
16,1,0.0,24,False
24,3,0.0,24,False
24,0,0.0,24,False
24,1,0.0,24,False
24,2,0.0,16,False
16,3,0.0,17,False
17,0,0.0,16,False
16,0,0.0,24,False
24,0,0.0,16,False
16,2,0.0,24,False
24,2,0.0,25,False
25,3,0.0,24,False
24,0,0.0,32,False
32,2,0.0,33,False
33,1,0.0,32,False
32,0,0.0,32,False
32,1,0.0,32,False
32,2,0.0,40,False
40,0,0.0,48,False
48,2,0.0,40,False
40,0,0.0,48,False
48,2,0.0,40,False
40,3,0.0,40,False
40,1,0.0,40,False
40,3,0.0,32,False
32,0,0.0,24,False
24,3,0.0,24,False
24,2,0.0,25,False
25,0,0.0,24,False
24,2,0.0,32,False
32,1,0.0,40,False
40,1,0.0,48,False
48,0,0.0,40,False
40,2,0.0,48,False
48,3,0.0,49,True
0,1,0.0,8,False
8,1,0.0,9,False
9,3,0.0,10,False
10,0,0.0,18,False
18,3,0.0,19,True
0,1,0.0,8,False
8,0,0.0,16,False
16,2,0.0,8,False
8,3,0.0,8,False
8,2,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,2,0.0,1,False
1,0,0.0,1,False
1,1,0.0,0,False
0,3,0.0,1,False
1,1,0.0,0,False
0,2,0.0,1,False
1,3,0.0,0,False
0,2,0.0,8,False
8,2,0.0,9,False
9,2,0.0,10,False
10,1,0.0,9,False
9,3,0.0,8,False
8,2,0.0,16,False
16,0,0.0,16,False
16,3,0.0,8,False
8,3,0.0,9,False
9,0,0.0,1,False
1,3,0.0,2,False
2,3,0.0,2,False
2,3,0.0,3,False
3,1,0.0,4,False
4,2,0.0,5,False
5,0,0.0,5,False
5,2,0.0,13,False
13,1,0.0,12,False
12,2,0.0,4,False
4,3,0.0,5,False
5,0,0.0,13,False
13,0,0.0,12,False
12,3,0.0,4,False
4,2,0.0,4,False
4,0,0.0,3,False
3,3,0.0,3,False
3,3,0.0,3,False
3,0,0.0,11,False
11,0,0.0,19,True
0,3,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,2,0.0,0,False
0,3,0.0,0,False
0,2,0.0,1,False
1,1,0.0,9,False
9,0,0.0,1,False
1,2,0.0,2,False
2,1,0.0,3,False
3,0,0.0,11,False
11,1,0.0,10,False
10,0,0.0,18,False
18,1,0.0,26,False
26,2,0.0,18,False
18,3,0.0,10,False
10,0,0.0,9,False
9,1,0.0,10,False
10,3,0.0,9,False
9,1,0.0,17,False
17,1,0.0,18,False
18,1,0.0,26,False
26,0,0.0,18,False
18,1,0.0,26,False
26,1,0.0,25,False
25,1,0.0,33,False
33,0,0.0,32,False
32,0,0.0,32,False
32,0,0.0,32,False
32,3,0.0,24,False
24,3,0.0,25,False
25,1,0.0,24,False
24,2,0.0,16,False
16,0,0.0,24,False
24,1,0.0,24,False
24,3,0.0,16,False
16,3,0.0,17,False
17,2,0.0,18,False
18,1,0.0,17,False
17,2,0.0,9,False
9,3,0.0,10,False
10,0,0.0,9,False
9,2,0.0,1,False
1,1,0.0,2,False
2,1,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,1,0.0,8,False
8,3,0.0,9,False
9,2,0.0,10,False
10,2,0.0,11,False
11,0,0.0,10,False
10,0,0.0,2,False
2,2,0.0,2,False
2,2,0.0,10,False
10,3,0.0,11,False
11,2,0.0,12,False
12,0,0.0,4,False
4,1,0.0,5,False
5,3,0.0,5,False
5,0,0.0,4,False
4,2,0.0,5,False
5,0,0.0,5,False
5,0,0.0,4,False
4,2,0.0,4,False
4,2,0.0,12,False
12,3,0.0,13,False
13,1,0.0,21,False
21,3,0.0,22,False
22,3,0.0,21,False
21,0,0.0,29,True
0,0,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,2,0.0,1,False
1,2,0.0,9,False
9,1,0.0,17,False
17,2,0.0,18,False
18,0,0.0,10,False
10,3,0.0,2,False
2,2,0.0,2,False
2,1,0.0,1,False
1,2,0.0,2,False
2,1,0.0,10,False
10,2,0.0,18,False
18,0,0.0,26,False
26,3,0.0,18,False
18,3,0.0,17,False
17,0,0.0,25,False
25,3,0.0,26,False
26,0,0.0,25,False
25,3,0.0,24,False
24,3,0.0,25,False
25,2,0.0,33,False
33,2,0.0,34,False
34,0,0.0,26,False
26,2,0.0,27,False
27,0,0.0,26,False
26,2,0.0,18,False
18,2,0.0,19,True
0,1,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,0,0.0,0,False
0,3,0.0,1,False
1,3,0.0,0,False
0,0,0.0,0,False
0,1,0.0,0,False
0,3,0.0,0,False
0,1,0.0,1,False
1,0,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,0,0.0,8,False
8,0,0.0,8,False
8,2,0.0,9,False
9,0,0.0,8,False
8,0,0.0,8,False
8,0,0.0,8,False
8,0,0.0,8,False
8,2,0.0,16,False
16,0,0.0,24,False
24,0,0.0,16,False
16,3,0.0,8,False
8,1,0.0,8,False
8,3,0.0,9,False
9,3,0.0,1,False
1,3,0.0,2,False
2,1,0.0,3,False
3,0,0.0,3,False
3,2,0.0,11,False
11,0,0.0,10,False
10,0,0.0,2,False
2,1,0.0,3,False
3,0,0.0,2,False
2,3,0.0,3,False
3,1,0.0,2,False
2,3,0.0,2,False
2,0,0.0,1,False
1,1,0.0,9,False
9,0,0.0,8,False
8,2,0.0,0,False
0,2,0.0,8,False
8,3,0.0,9,False
9,1,0.0,10,False
10,2,0.0,18,False
18,0,0.0,17,False
17,0,0.0,25,False
25,0,0.0,17,False
17,1,0.0,16,False
16,2,0.0,8,False
8,3,0.0,8,False
8,3,0.0,0,False
0,2,0.0,0,False
0,1,0.0,1,False
1,2,0.0,2,False
2,0,0.0,10,False
10,3,0.0,11,False
11,2,0.0,12,False
12,3,0.0,4,False
4,0,0.0,12,False
12,1,0.0,20,False
20,1,0.0,21,False
21,1,0.0,29,True
0,0,0.0,0,False
0,0,0.0,0,False
0,2,0.0,1,False
1,3,0.0,2,False
2,0,0.0,10,False
10,1,0.0,9,False
9,2,0.0,17,False
17,3,0.0,16,False
16,3,0.0,8,False
8,0,0.0,16,False
16,1,0.0,24,False
24,3,0.0,16,False
16,2,0.0,8,False
8,2,0.0,16,False
16,2,0.0,17,False
17,0,0.0,25,False
25,3,0.0,24,False
24,1,0.0,25,False
25,3,0.0,26,False
26,0,0.0,34,False
34,1,0.0,33,False
33,0,0.0,41,True
0,3,0.0,1,False
1,2,0.0,2,False
2,3,0.0,1,False
1,0,0.0,1,False
1,2,0.0,1,False
1,2,0.0,9,False
9,0,0.0,1,False
1,1,0.0,0,False
0,3,0.0,0,False
0,2,0.0,8,False
8,0,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,0,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,0,0.0,1,False
1,1,0.0,2,False
2,2,0.0,2,False
2,1,0.0,3,False
3,0,0.0,2,False
2,0,0.0,10,False
10,2,0.0,11,False
11,1,0.0,12,False
12,3,0.0,13,False
13,3,0.0,12,False
12,0,0.0,11,False
11,3,0.0,12,False
12,3,0.0,4,False
4,1,0.0,3,False
3,1,0.0,4,False
4,2,0.0,4,False
4,0,0.0,3,False
3,1,0.0,4,False
4,0,0.0,12,False
12,1,0.0,13,False
13,1,0.0,14,False
14,3,0.0,15,False
15,1,0.0,14,False
14,1,0.0,22,False
22,3,0.0,23,False
23,1,0.0,22,False
22,1,0.0,23,False
23,3,0.0,22,False
22,2,0.0,23,False
23,0,0.0,22,False
22,0,0.0,14,False
14,1,0.0,13,False
13,3,0.0,12,False
12,3,0.0,11,False
11,0,0.0,19,True
0,0,0.0,0,False
0,2,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,1,0.0,8,False
8,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,1,0.0,1,False
1,1,0.0,0,False
0,2,0.0,8,False
8,0,0.0,16,False
16,1,0.0,24,False
24,1,0.0,24,False
24,0,0.0,16,False
16,2,0.0,17,False
17,2,0.0,18,False
18,2,0.0,19,True
0,1,0.0,0,False
0,2,0.0,1,False
1,3,0.0,0,False
0,1,0.0,0,False
0,2,0.0,0,False
0,3,0.0,1,False
1,0,0.0,0,False
0,3,0.0,1,False
1,0,0.0,1,False
1,2,0.0,2,False
2,2,0.0,10,False
10,1,0.0,11,False
11,2,0.0,12,False
12,3,0.0,11,False
11,0,0.0,19,True
0,0,0.0,0,False
0,1,0.0,0,False
0,0,0.0,0,False
0,1,0.0,1,False
1,1,0.0,0,False
0,2,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,2,0.0,8,False
8,0,0.0,8,False
8,2,0.0,16,False
16,1,0.0,17,False
17,0,0.0,9,False
9,0,0.0,1,False
1,3,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,0,0.0,8,False
8,0,0.0,8,False
8,2,0.0,0,False
0,0,0.0,8,False
8,2,0.0,0,False
0,0,0.0,8,False
8,3,0.0,0,False
0,1,0.0,0,False
0,1,0.0,1,False
1,1,0.0,9,False
9,1,0.0,17,False
17,2,0.0,9,False
9,3,0.0,10,False
10,0,0.0,18,False
18,3,0.0,10,False
10,2,0.0,2,False
2,1,0.0,10,False
10,2,0.0,2,False
2,0,0.0,1,False
1,3,0.0,0,False
0,0,0.0,8,False
8,2,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,0,0.0,8,False
8,1,0.0,16,False
16,3,0.0,8,False
8,1,0.0,9,False
9,3,0.0,10,False
10,3,0.0,11,False
11,2,0.0,3,False
3,2,0.0,4,False
4,0,0.0,4,False
4,3,0.0,4,False
4,2,0.0,5,False
5,2,0.0,13,False
13,3,0.0,12,False
12,2,0.0,4,False
4,1,0.0,5,False
5,1,0.0,4,False
4,0,0.0,4,False
4,0,0.0,3,False
3,3,0.0,3,False
3,2,0.0,11,False
11,2,0.0,19,True
0,0,0.0,8,False
8,1,0.0,9,False
9,0,0.0,8,False
8,2,0.0,0,False
0,2,0.0,1,False
1,1,0.0,2,False
2,3,0.0,2,False
2,2,0.0,2,False
2,3,0.0,3,False
3,3,0.0,4,False
4,2,0.0,5,False
5,0,0.0,4,False
4,2,0.0,4,False
4,1,0.0,12,False
12,1,0.0,20,False
20,1,0.0,28,False
28,1,0.0,27,False
27,2,0.0,19,True
0,1,0.0,0,False
0,1,0.0,0,False
0,3,0.0,1,False
1,1,0.0,2,False
2,3,0.0,1,False
1,2,0.0,9,False
9,0,0.0,8,False
8,0,0.0,0,False
0,3,0.0,1,False
1,0,0.0,9,False
9,1,0.0,8,False
8,2,0.0,16,False
16,3,0.0,8,False
8,2,0.0,16,False
16,0,0.0,8,False
8,3,0.0,0,False
0,2,0.0,8,False
8,2,0.0,16,False
16,3,0.0,16,False
16,2,0.0,17,False
17,1,0.0,18,False
18,3,0.0,19,True
0,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,1,False
1,3,0.0,1,False
1,3,0.0,2,False
2,3,0.0,3,False
3,2,0.0,11,False
11,2,0.0,19,True
0,3,0.0,1,False
1,1,0.0,2,False
2,0,0.0,10,False
10,0,0.0,9,False
9,3,0.0,10,False
10,0,0.0,2,False
2,2,0.0,10,False
10,0,0.0,18,False
18,2,0.0,19,True
0,3,0.0,0,False
0,1,0.0,0,False
0,3,0.0,1,False
1,3,0.0,2,False
2,3,0.0,1,False
1,2,0.0,2,False
2,0,0.0,10,False
10,2,0.0,18,False
18,2,0.0,19,True
0,0,0.0,0,False
0,2,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,0,0.0,0,False
0,3,0.0,1,False
1,1,0.0,0,False
0,0,0.0,8,False
8,1,0.0,8,False
8,1,0.0,9,False
9,2,0.0,10,False
10,1,0.0,9,False
9,3,0.0,10,False
10,2,0.0,2,False
2,3,0.0,2,False
2,1,0.0,10,False
10,0,0.0,2,False
2,0,0.0,10,False
10,1,0.0,9,False
9,2,0.0,10,False
10,1,0.0,9,False
9,3,0.0,1,False
1,1,0.0,9,False
9,3,0.0,10,False
10,0,0.0,2,False
2,0,0.0,1,False
1,2,0.0,1,False
1,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,8,False
8,0,0.0,8,False
8,0,0.0,16,False
16,0,0.0,8,False
8,3,0.0,0,False
0,1,0.0,0,False
0,1,0.0,1,False
1,0,0.0,9,False
9,1,0.0,17,False
17,1,0.0,16,False
16,1,0.0,16,False
16,1,0.0,16,False
16,0,0.0,16,False
16,2,0.0,24,False
24,0,0.0,24,False
24,0,0.0,32,False
32,0,0.0,24,False
24,2,0.0,16,False
16,1,0.0,16,False
16,0,0.0,8,False
8,0,0.0,0,False
0,3,0.0,0,False
0,2,0.0,8,False
8,3,0.0,8,False
8,2,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,1,0.0,8,False
8,0,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,3,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,3,0.0,11,False
11,2,0.0,19,True
0,1,0.0,1,False
1,0,0.0,1,False
1,3,0.0,0,False
0,2,0.0,1,False
1,2,0.0,1,False
1,0,0.0,9,False
9,0,0.0,17,False
17,2,0.0,25,False
25,3,0.0,24,False
24,1,0.0,32,False
32,1,0.0,33,False
33,3,0.0,32,False
32,1,0.0,32,False
32,0,0.0,24,False
24,1,0.0,32,False
32,1,0.0,33,False
33,2,0.0,34,False
34,3,0.0,26,False
26,3,0.0,27,False
27,1,0.0,28,False
28,1,0.0,27,False
27,2,0.0,35,True
0,2,0.0,1,False
1,0,0.0,0,False
0,3,0.0,0,False
0,1,0.0,8,False
8,0,0.0,0,False
0,2,0.0,1,False
1,0,0.0,1,False
1,0,0.0,0,False
0,0,0.0,0,False
0,0,0.0,0,False
0,2,0.0,1,False
1,3,0.0,1,False
1,0,0.0,9,False
9,1,0.0,8,False
8,1,0.0,8,False
8,2,0.0,9,False
9,0,0.0,17,False
17,2,0.0,9,False
9,3,0.0,10,False
10,2,0.0,2,False
2,3,0.0,1,False
1,0,0.0,0,False
0,1,0.0,1,False
1,2,0.0,9,False
9,2,0.0,10,False
10,2,0.0,2,False
2,3,0.0,2,False
2,3,0.0,2,False
2,1,0.0,10,False
10,0,0.0,2,False
2,3,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,0,False
0,3,0.0,1,False
1,1,0.0,2,False
2,3,0.0,1,False
1,3,0.0,2,False
2,3,0.0,1,False
1,3,0.0,2,False
2,2,0.0,10,False
10,0,0.0,18,False
18,2,0.0,10,False
10,3,0.0,2,False
2,1,0.0,10,False
10,1,0.0,18,False
18,3,0.0,19,True
0,1,0.0,0,False
0,2,0.0,1,False
1,0,0.0,1,False
1,0,0.0,9,False
9,3,0.0,1,False
1,1,0.0,0,False
0,1,0.0,8,False
8,0,0.0,16,False
16,0,0.0,8,False
8,0,0.0,16,False
16,1,0.0,16,False
16,3,0.0,17,False
17,0,0.0,16,False
16,3,0.0,8,False
8,0,0.0,8,False
8,2,0.0,0,False
0,3,0.0,1,False
1,0,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,0,0.0,2,False
2,0,0.0,1,False
1,0,0.0,1,False
1,3,0.0,2,False
2,2,0.0,10,False
10,0,0.0,2,False
2,1,0.0,3,False
3,2,0.0,4,False
4,2,0.0,5,False
5,1,0.0,13,False
13,0,0.0,5,False
5,2,0.0,6,False
6,2,0.0,14,False
14,0,0.0,13,False
13,1,0.0,14,False
14,0,0.0,6,False
6,1,0.0,7,False
7,3,0.0,6,False
6,0,0.0,14,False
14,2,0.0,22,False
22,2,0.0,14,False
14,0,0.0,6,False
6,3,0.0,7,False
7,3,0.0,7,False
7,2,0.0,15,False
15,2,0.0,23,False
23,1,0.0,22,False
22,3,0.0,14,False
14,2,0.0,6,False
6,2,0.0,14,False
14,3,0.0,13,False
13,0,0.0,5,False
5,1,0.0,13,False
13,1,0.0,12,False
12,1,0.0,20,False
20,3,0.0,19,True
0,3,0.0,0,False
0,3,0.0,0,False
0,0,0.0,0,False
0,2,0.0,8,False
8,1,0.0,16,False
16,3,0.0,17,False
17,3,0.0,9,False
9,3,0.0,1,False
1,2,0.0,2,False
2,1,0.0,10,False
10,2,0.0,2,False
2,0,0.0,1,False
1,2,0.0,2,False
2,0,0.0,2,False
2,3,0.0,2,False
2,2,0.0,3,False
3,3,0.0,2,False
2,0,0.0,10,False
10,2,0.0,2,False
2,3,0.0,1,False
1,2,0.0,1,False
1,2,0.0,9,False
9,1,0.0,10,False
10,3,0.0,11,False
11,2,0.0,3,False
3,0,0.0,3,False
3,0,0.0,2,False
2,1,0.0,1,False
1,2,0.0,2,False
2,1,0.0,10,False
10,2,0.0,11,False
11,2,0.0,12,False
12,1,0.0,13,False
13,3,0.0,5,False
5,3,0.0,4,False
4,0,0.0,4,False
4,3,0.0,4,False
4,3,0.0,5,False
5,1,0.0,4,False
4,1,0.0,3,False
3,0,0.0,2,False
2,0,0.0,1,False
1,0,0.0,1,False
1,1,0.0,2,False
2,0,0.0,10,False
10,3,0.0,2,False
2,2,0.0,2,False
2,3,0.0,3,False
3,1,0.0,11,False
11,1,0.0,10,False
10,1,0.0,18,False
18,0,0.0,17,False
17,2,0.0,9,False
9,2,0.0,1,False
1,3,0.0,0,False
0,3,0.0,0,False
0,2,0.0,0,False
0,2,0.0,1,False
1,2,0.0,9,False
9,3,0.0,1,False
1,0,0.0,1,False
1,1,0.0,9,False
9,1,0.0,8,False
8,3,0.0,8,False
8,2,0.0,16,False
16,2,0.0,24,False
24,2,0.0,16,False
16,0,0.0,24,False
24,3,0.0,24,False
24,3,0.0,25,False
25,1,0.0,33,False
33,3,0.0,34,False
34,0,0.0,26,False
26,2,0.0,27,False
27,3,0.0,28,False
28,2,0.0,20,False
20,2,0.0,21,False
21,2,0.0,13,False
13,1,0.0,12,False
12,1,0.0,20,False
20,0,0.0,19,True
0,2,0.0,1,False
1,3,0.0,1,False
1,0,0.0,1,False
1,3,0.0,0,False
0,0,0.0,8,False
8,1,0.0,16,False
16,0,0.0,16,False
16,0,0.0,8,False
8,0,0.0,16,False
16,1,0.0,16,False
16,1,0.0,24,False
24,1,0.0,25,False
25,2,0.0,17,False
17,2,0.0,25,False
25,2,0.0,33,False
33,0,0.0,32,False
32,1,0.0,32,False
32,1,0.0,40,False
40,3,0.0,32,False
32,2,0.0,24,False
24,0,0.0,16,False
16,2,0.0,24,False
24,2,0.0,25,False
25,2,0.0,33,False
33,1,0.0,32,False
32,3,0.0,32,False
32,3,0.0,24,False
24,2,0.0,32,False
